time,location_id,temp_max,humidity,precipitation,location_wkt
2026-05-23 03:00:00+00:00,-25.2539_-64.3952,,,,POINT(-64.395205 -25.253895)
2026-05-21 03:00:00+00:00,-37.6944_-62.8061,,,,POINT(-62.8060699 -37.6943991)
2026-05-22 03:00:00+00:00,-37.6944_-62.8061,,,,POINT(-62.8060699 -37.6943991)
2026-05-23 03:00:00+00:00,-37.6944_-62.8061,,,,POINT(-62.8060699 -37.6943991)
2026-05-21 03:00:00+00:00,-28.0819_-65.4294,,,,POINT(-65.4294044 -28.0819035)
2026-05-22 03:00:00+00:00,-28.0819_-65.4294,,,,POINT(-65.4294044 -28.0819035)
2026-05-23 03:00:00+00:00,-28.0819_-65.4294,,,,POINT(-65.4294044 -28.0819035)
2026-05-21 03:00:00+00:00,-25.7200_-64.9041,,,,POINT(-64.9040735 -25.7199736)
2026-05-22 03:00:00+00:00,-25.7200_-64.9041,,,,POINT(-64.9040735 -25.7199736)
2026-05-23 03:00:00+00:00,-25.7200_-64.9041,,,,POINT(-64.9040735 -25.7199736)
2026-05-21 03:00:00+00:00,-26.8885_-64.7412,,,,POINT(-64.7411658 -26.8884593)
2026-05-22 03:00:00+00:00,-26.8885_-64.7412,,,,POINT(-64.7411658 -26.8884593)
2026-05-23 03:00:00+00:00,-26.8885_-64.7412,,,,POINT(-64.7411658 -26.8884593)
2026-05-21 03:00:00+00:00,-31.6635_-63.0479,,,,POINT(-63.0479142 -31.6634501)
2026-05-22 03:00:00+00:00,-31.6635_-63.0479,,,,POINT(-63.0479142 -31.6634501)
2026-05-23 03:00:00+00:00,-31.6635_-63.0479,,,,POINT(-63.0479142 -31.6634501)
2026-05-21 03:00:00+00:00,-31.7399_-62.0376,,,,POINT(-62.037608 -31.7398619)
2026-05-22 03:00:00+00:00,-31.7399_-62.0376,,,,POINT(-62.037608 -31.7398619)
2026-05-23 03:00:00+00:00,-31.7399_-62.0376,,,,POINT(-62.037608 -31.7398619)
2026-05-21 03:00:00+00:00,-28.5074_-59.0452,,,,POINT(-59.0452284 -28.5073653)
2026-05-22 03:00:00+00:00,-28.5074_-59.0452,,,,POINT(-59.0452284 -28.5073653)
2026-05-23 03:00:00+00:00,-28.5074_-59.0452,,,,POINT(-59.0452284 -28.5073653)
2026-05-21 03:00:00+00:00,-37.2245_-62.1630,,,,POINT(-62.1630242 -37.2244756)
2026-05-22 03:00:00+00:00,-37.2245_-62.1630,,,,POINT(-62.1630242 -37.2244756)
2026-05-23 03:00:00+00:00,-37.2245_-62.1630,,,,POINT(-62.1630242 -37.2244756)
2026-05-21 03:00:00+00:00,-30.0763_-63.8251,,,,POINT(-63.8251324 -30.0762926)
2026-05-22 03:00:00+00:00,-30.0763_-63.8251,,,,POINT(-63.8251324 -30.0762926)
2026-05-23 03:00:00+00:00,-30.0763_-63.8251,,,,POINT(-63.8251324 -30.0762926)
2026-05-21 03:00:00+00:00,-32.1680_-61.1574,,,,POINT(-61.1574104 -32.1679854)
2026-05-22 03:00:00+00:00,-32.1680_-61.1574,,,,POINT(-61.1574104 -32.1679854)
2026-05-23 03:00:00+00:00,-32.1680_-61.1574,,,,POINT(-61.1574104 -32.1679854)
2026-05-21 03:00:00+00:00,-32.2960_-61.4081,,,,POINT(-61.4080671 -32.2959681)
2026-05-22 03:00:00+00:00,-32.2960_-61.4081,,,,POINT(-61.4080671 -32.2959681)
2026-05-23 03:00:00+00:00,-32.2960_-61.4081,,,,POINT(-61.4080671 -32.2959681)
2026-05-21 03:00:00+00:00,-29.9257_-63.5897,,,,POINT(-63.5896591 -29.9257056)
2026-05-22 03:00:00+00:00,-29.9257_-63.5897,,,,POINT(-63.5896591 -29.9257056)
2026-05-23 03:00:00+00:00,-29.9257_-63.5897,,,,POINT(-63.5896591 -29.9257056)
2026-05-21 03:00:00+00:00,-27.0863_-61.0805,,,,POINT(-61.0805 -27.0863)
2026-05-22 03:00:00+00:00,-27.0863_-61.0805,,,,POINT(-61.0805 -27.0863)
2026-05-23 03:00:00+00:00,-27.0863_-61.0805,,,,POINT(-61.0805 -27.0863)
2026-05-21 03:00:00+00:00,-23.2101_-64.0974,,,,POINT(-64.0973737 -23.2101359)
2026-05-22 03:00:00+00:00,-23.2101_-64.0974,,,,POINT(-64.0973737 -23.2101359)
2026-05-23 03:00:00+00:00,-23.2101_-64.0974,,,,POINT(-64.0973737 -23.2101359)
2026-05-21 03:00:00+00:00,-31.1645_-62.0963,,,,POINT(-62.0963059 -31.1645209)
2026-05-22 03:00:00+00:00,-31.1645_-62.0963,,,,POINT(-62.0963059 -31.1645209)
2026-05-23 03:00:00+00:00,-31.1645_-62.0963,,,,POINT(-62.0963059 -31.1645209)
2026-05-21 03:00:00+00:00,-31.2373_-64.0666,,,,POINT(-64.0666039 -31.2372536)
2026-05-22 03:00:00+00:00,-31.2373_-64.0666,,,,POINT(-64.0666039 -31.2372536)
2026-05-23 03:00:00+00:00,-31.2373_-64.0666,,,,POINT(-64.0666039 -31.2372536)
2026-05-21 03:00:00+00:00,-33.4832_-60.9562,,,,POINT(-60.9561804 -33.4831667)
2026-05-22 03:00:00+00:00,-33.4832_-60.9562,,,,POINT(-60.9561804 -33.4831667)
2026-05-23 03:00:00+00:00,-33.4832_-60.9562,,,,POINT(-60.9561804 -33.4831667)
2026-05-21 03:00:00+00:00,-25.9427_-60.6195,,,,POINT(-60.6195 -25.9427)
2026-05-22 03:00:00+00:00,-25.9427_-60.6195,,,,POINT(-60.6195 -25.9427)
2026-05-23 03:00:00+00:00,-25.9427_-60.6195,,,,POINT(-60.6195 -25.9427)
2026-05-21 03:00:00+00:00,-33.0720_-64.5785,,,,POINT(-64.5785213 -33.0720427)
2026-05-22 03:00:00+00:00,-33.0720_-64.5785,,,,POINT(-64.5785213 -33.0720427)
2026-05-23 03:00:00+00:00,-33.0720_-64.5785,,,,POINT(-64.5785213 -33.0720427)
2026-05-21 03:00:00+00:00,-32.0237_-64.1921,,,,POINT(-64.192075 -32.0236774)
2026-05-22 03:00:00+00:00,-32.0237_-64.1921,,,,POINT(-64.192075 -32.0236774)
2026-05-23 03:00:00+00:00,-32.0237_-64.1921,,,,POINT(-64.192075 -32.0236774)
2026-05-21 03:00:00+00:00,-36.3020_-61.7139,,,,POINT(-61.7139204 -36.301954)
2026-05-22 03:00:00+00:00,-36.3020_-61.7139,,,,POINT(-61.7139204 -36.301954)
2026-05-23 03:00:00+00:00,-36.3020_-61.7139,,,,POINT(-61.7139204 -36.301954)
2026-05-21 03:00:00+00:00,-23.6195_-62.8102,,,,POINT(-62.8101767 -23.6194992)
2026-05-22 03:00:00+00:00,-23.6195_-62.8102,,,,POINT(-62.8101767 -23.6194992)
2026-05-23 03:00:00+00:00,-23.6195_-62.8102,,,,POINT(-62.8101767 -23.6194992)
2026-05-21 03:00:00+00:00,-33.0185_-60.8789,,,,POINT(-60.8788584 -33.0185383)
2026-05-22 03:00:00+00:00,-33.0185_-60.8789,,,,POINT(-60.8788584 -33.0185383)
2026-05-23 03:00:00+00:00,-33.0185_-60.8789,,,,POINT(-60.8788584 -33.0185383)
2026-05-21 03:00:00+00:00,-35.5552_-63.3800,,,,POINT(-63.3799806 -35.5551806)
2026-05-22 03:00:00+00:00,-35.5552_-63.3800,,,,POINT(-63.3799806 -35.5551806)
2026-05-23 03:00:00+00:00,-35.5552_-63.3800,,,,POINT(-63.3799806 -35.5551806)
2026-05-21 03:00:00+00:00,-35.9731_-62.7329,,,,POINT(-62.7328794 -35.9731074)
2026-05-22 03:00:00+00:00,-35.9731_-62.7329,,,,POINT(-62.7328794 -35.9731074)
2026-05-23 03:00:00+00:00,-35.9731_-62.7329,,,,POINT(-62.7328794 -35.9731074)
2026-05-21 03:00:00+00:00,-38.7389_-62.2126,,,,POINT(-62.21265 -38.7388808)
2026-05-22 03:00:00+00:00,-38.7389_-62.2126,,,,POINT(-62.21265 -38.7388808)
2026-05-23 03:00:00+00:00,-38.7389_-62.2126,,,,POINT(-62.21265 -38.7388808)
2026-05-21 03:00:00+00:00,-35.6591_-63.7576,,,,POINT(-63.7576103 -35.6591085)
2026-05-22 03:00:00+00:00,-35.6591_-63.7576,,,,POINT(-63.7576103 -35.6591085)
2026-05-23 03:00:00+00:00,-35.6591_-63.7576,,,,POINT(-63.7576103 -35.6591085)
2026-05-21 03:00:00+00:00,-37.8464_-58.2555,,,,POINT(-58.2554648 -37.846399)
2026-05-22 03:00:00+00:00,-37.8464_-58.2555,,,,POINT(-58.2554648 -37.846399)
2026-05-23 03:00:00+00:00,-37.8464_-58.2555,,,,POINT(-58.2554648 -37.846399)
2026-05-21 03:00:00+00:00,-31.6501_-63.9116,,,,POINT(-63.9116179 -31.6501467)
2026-05-22 03:00:00+00:00,-31.6501_-63.9116,,,,POINT(-63.9116179 -31.6501467)
2026-05-23 03:00:00+00:00,-31.6501_-63.9116,,,,POINT(-63.9116179 -31.6501467)
2026-05-21 03:00:00+00:00,-27.9848_-65.5740,,,,POINT(-65.5739654 -27.9848359)
2026-05-22 03:00:00+00:00,-27.9848_-65.5740,,,,POINT(-65.5739654 -27.9848359)
2026-05-23 03:00:00+00:00,-27.9848_-65.5740,,,,POINT(-65.5739654 -27.9848359)
2026-05-21 03:00:00+00:00,-34.8452_-62.4668,,,,POINT(-62.4668089 -34.8452487)
2026-05-22 03:00:00+00:00,-34.8452_-62.4668,,,,POINT(-62.4668089 -34.8452487)
2026-05-23 03:00:00+00:00,-34.8452_-62.4668,,,,POINT(-62.4668089 -34.8452487)
2026-05-21 03:00:00+00:00,-28.6000_-62.1833,,,,POINT(-62.183333 -28.6)
2026-05-22 03:00:00+00:00,-28.6000_-62.1833,,,,POINT(-62.183333 -28.6)
