id,occurrence_date,pest_type,severity_level,institution,province,locality,adults_count,infection_percent,geom_wkt
4201,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Salta,Gral Pizarro,0.0,,POINT(-58.5496468 -34.654802)
4202,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Salta,Horcones,0.0,,POINT(-64.9040735 -25.7199736)
4203,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Salta,J V Gonzales,5.0,,POINT(-65.4952481 -24.7277409)
4204,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Salta,Las Lajitas T3,,,POINT(-64.1953709 -24.7269289)
4205,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Salta,Metan 1,,,POINT(-64.971005 -25.4969744)
8254,2025-09-02 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Buenos Aires,San Pedro,0.0,,POINT(-59.6629342 -33.6760716)
4207,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Salta,Mollinedo,1.0,,POINT(-64.1007255 -24.5399351)
4208,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Salta,Mosconi,0.0,,POINT(-64.9812953 -25.4939916)
8255,2025-09-02 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Buenos Aires,Alberdi,0.0,,POINT(-60.3348534 -36.8836862)
4210,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Salta,Pichanal,2.0,,POINT(-64.2269308 -23.3220599)
8256,2025-09-02 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Buenos Aires,Necochea,0.0,,POINT(-58.7392624 -38.5545494)
4212,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Salta,Santo Domingo,0.0,,POINT(-64.0272386 -24.6528628)
4213,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Salta,Saravia,3.0,,POINT(-64.3121457 -24.5444364)
4214,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Salta,Tolloche,,,POINT(-63.95 -25.55)
4215,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Salta,Urundel,,,POINT(-64.3978211 -23.5582035)
4217,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,AAPPCE,Tucumán,Tusquita,0.0,,POINT(-65.2 -26.9)
4218,2026-01-21 03:00:00+00:00,Dalbulus maidis,Explosive,CREA,Tucumán,Alto Verde,122.0,,POINT(-65.4838827 -27.1176529)
4219,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Tucumán,Burruyacu,0.0,,POINT(-64.7434868 -26.4995747)
4220,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Tucumán,Chilca,,,POINT(-65.2789917 -27.7860633)
4221,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Tucumán,Garmendia,0.0,,POINT(-65.1800307 -26.8383727)
4222,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Tucumán,Huasa Pampa,4.0,,POINT(-65.4845131 -27.2416098)
4223,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Tucumán,La Bajada,3.0,,POINT(-65.6209226 -28.383254)
4224,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Tucumán,La Cocha 1,5.0,,POINT(-65.5883539 -27.7700082)
4225,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Tucumán,La Cruz,1.0,,POINT(-64.8817717 -26.6322766)
4226,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Tucumán,La Invernada,2.0,,POINT(-65.5768528 -27.631565)
4227,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Tucumán,La Virginia,3.0,,POINT(-64.7867557 -26.745486)
4228,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Tucumán,Laguna de Robles,0.0,,POINT(-64.6494651 -26.2561581)
4229,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Tucumán,Las Cejas,16.0,,POINT(-64.7411658 -26.8884593)
4230,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Tucumán,Los Pereyra,0.0,,POINT(-64.8820143 -26.9462385)
4231,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Tucumán,Los Puestos,3.0,,POINT(-65.0175023 -27.2808347)
